TimeStep,Time,"U:0","U:1","U:2","Points:0","Points:1","Points:2"
100,1.00000000e+02,-6.30583242e-02,-3.75873744e-01,0.00000000e+00,9.49999988e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-5.32289743e-02,-3.39083433e-01,0.00000000e+00,9.54999983e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-4.35788594e-02,-2.99802899e-01,0.00000000e+00,9.59999979e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-3.43702249e-02,-2.58855522e-01,0.00000000e+00,9.64999974e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-2.59235222e-02,-2.17191890e-01,0.00000000e+00,9.70000029e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.84358116e-02,-1.75874293e-01,0.00000000e+00,9.75000024e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.20543037e-02,-1.35739371e-01,0.00000000e+00,9.80000019e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-6.91996887e-03,-9.75362509e-02,0.00000000e+00,9.85000014e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-3.16624180e-03,-6.19045496e-02,0.00000000e+00,9.90000010e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-9.41033999e-04,-2.93407198e-02,0.00000000e+00,9.95000005e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,5.00000000e-01,0.00000000e+00
