"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-3.93069237e-02,3.18915486e-01,0.00000000e+00,2.38000005e-01,5.00000000e-01,0.00000000e+00
-3.93999442e-02,3.17759603e-01,0.00000000e+00,2.38999993e-01,5.00000000e-01,0.00000000e+00
-3.94929647e-02,3.16603750e-01,0.00000000e+00,2.39999995e-01,5.00000000e-01,0.00000000e+00
-3.95859890e-02,3.15447867e-01,0.00000000e+00,2.40999997e-01,5.00000000e-01,0.00000000e+00
-3.96790095e-02,3.14291984e-01,0.00000000e+00,2.41999999e-01,5.00000000e-01,0.00000000e+00
-3.97720300e-02,3.13136101e-01,0.00000000e+00,2.43000001e-01,5.00000000e-01,0.00000000e+00
-3.98650505e-02,3.11980218e-01,0.00000000e+00,2.44000003e-01,5.00000000e-01,0.00000000e+00
-3.99580710e-02,3.10824335e-01,0.00000000e+00,2.45000005e-01,5.00000000e-01,0.00000000e+00
-4.00510915e-02,3.09668452e-01,0.00000000e+00,2.46000007e-01,5.00000000e-01,0.00000000e+00
-4.01441120e-02,3.08512598e-01,0.00000000e+00,2.46999994e-01,5.00000000e-01,0.00000000e+00
-4.02360223e-02,3.07348430e-01,0.00000000e+00,2.47999996e-01,5.00000000e-01,0.00000000e+00
-4.03233506e-02,3.06150109e-01,0.00000000e+00,2.48999998e-01,5.00000000e-01,0.00000000e+00
-4.04106788e-02,3.04951757e-01,0.00000000e+00,2.50000000e-01,5.00000000e-01,0.00000000e+00
